Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2022-08-18 22:46:10,2022-08-19 21:38:56,UTC+02:00,70,46,91,33.90,96.64,7.5,1790,136,64,2022-08-18 22:46:10,2022-08-19 04:59:39,58,13.5,340,373,132,73,135,33,585,76,92,80
2022-08-17 23:03:55,2022-08-18 22:46:10,UTC+02:00,84,44,92,33.14,97.17,15.7,2928,178,72,2022-08-17 23:03:55,2022-08-18 05:44:47,67,13.2,377,401,154,79,144,24,566,69,95,84
2022-08-16 23:50:00,2022-08-17 23:03:55,UTC+02:00,81,46,91,33.39,96.63,13.9,2480,139,72,2022-08-16 23:50:00,2022-08-17 07:00:12,70,13.6,389,430,147,80,162,41,559,58,93,77
2022-08-15 23:14:53,2022-08-16 23:50:00,UTC+02:00,62,46,83,33.93,95.22,14.7,2535,174,67,2022-08-15 23:14:53,2022-08-16 06:44:17,75,13.4,422,447,199,77,146,25,563,65,94,69
2022-08-14 22:53:40,2022-08-15 23:14:53,UTC+02:00,92,44,97,33.90,96.39,14.2,2450,166,64,2022-08-14 22:53:40,2022-08-15 06:08:40,72,13.2,401,432,160,98,143,31,561,90,93,64
2022-08-14 01:32:15,2022-08-14 22:53:40,UTC+02:00,66,51,89,34.00,96.88,6.1,1668,121,61,2022-08-14 01:32:15,2022-08-14 08:02:32,61,13.7,360,390,158,74,128,30,593,72,92,61
2022-08-13 01:34:08,2022-08-14 01:32:15,UTC+02:00,54,46,78,34.50,98.08,17.6,2900,182,70,2022-08-13 01:34:08,2022-08-13 08:13:36,69,13.7,342,399,118,93,131,57,495,14,85,43
2022-08-11 21:03:58,2022-08-13 01:34:08,UTC+02:00,84,47,90,34.10,96.96,10.5,2457,142,65,2022-08-11 21:03:58,2022-08-12 06:18:10,95,13.5,510,550,231,99,180,40,539,8,93,77
2022-08-10 22:02:33,2022-08-11 21:03:58,UTC+02:00,83,46,89,34.25,98.28,18.8,3202,186,72,2022-08-10 22:02:33,2022-08-11 06:57:03,97,13.5,497,534,245,84,168,37,513,2,94,79
2022-08-09 21:56:16,2022-08-10 22:02:33,UTC+02:00,79,46,85,33.80,97.75,16.1,2470,178,64,2022-08-09 21:56:16,2022-08-10 06:40:40,99,13.5,462,524,190,103,169,62,466,44,88,62
2022-08-08 22:39:54,2022-08-09 21:56:16,UTC+02:00,85,44,89,34.00,97.47,15.8,2562,168,62,2022-08-08 22:39:54,2022-08-09 07:00:16,85,13.1,471,500,258,98,115,29,555,69,94,75
2022-08-07 22:08:37,2022-08-08 22:39:54,UTC+02:00,86,46,90,33.80,96.73,11.7,2247,155,66,2022-08-07 22:08:37,2022-08-08 06:13:07,70,13.6,428,481,232,67,129,53,609,90,89,64
2022-08-07 01:51:07,2022-08-07 22:08:37,UTC+02:00,43,46,70,34.63,96.93,17.1,2610,177,71,2022-08-07 01:51:07,2022-08-07 08:03:38,61,13.2,342,370,123,84,135,28,562,47,94,47
2022-08-05 22:22:11,2022-08-07 01:51:07,UTC+02:00,82,44,82,33.70,96.91,16.5,3218,169,69,2022-08-05 22:22:11,2022-08-06 06:38:42,84,13.2,453,495,189,107,157,42,540,68,91,93
2022-08-04 22:13:57,2022-08-05 22:22:11,UTC+02:00,49,50,70,34.30,96.94,6.7,1894,140,60,2022-08-04 22:13:57,2022-08-05 06:00:11,77,13.5,430,466,147,101,182,36,556,59,92,94
2022-08-03 22:23:03,2022-08-04 22:13:57,UTC+02:00,90,46,86,34.10,97.00,14.0,2357,170,63,2022-08-03 22:23:03,2022-08-04 06:16:29,80,13.5,434,473,191,101,142,39,545,74,92,90
2022-08-02 22:05:42,2022-08-03 22:23:03,UTC+02:00,82,48,85,34.00,97.50,6.0,1837,138,61,2022-08-02 22:05:42,2022-08-03 06:20:47,75,13.6,439,495,185,116,138,56,586,72,90,81
2022-08-01 22:30:09,2022-08-02 22:05:42,UTC+02:00,88,46,85,33.90,97.09,16.5,2448,183,66,2022-08-01 22:30:09,2022-08-02 06:22:10,69,13.4,409,471,202,90,117,62,593,86,89,79
2022-07-31 22:40:42,2022-08-01 22:30:09,UTC+02:00,45,45,68,33.90,97.17,15.5,2596,180,65,2022-07-31 22:40:42,2022-08-01 05:54:44,71,13.4,419,434,243,72,104,15,593,86,96,77
2022-07-30 23:56:07,2022-07-31 22:40:42,UTC+02:00,63,47,75,34.20,97.00,15.5,2458,180,67,2022-07-30 23:56:07,2022-07-31 07:32:44,71,13.6,420,454,256,53,111,34,589,83,93,80
2022-07-30 00:02:19,2022-07-30 23:56:07,UTC+02:00,58,47,73,34.10,96.50,15.3,2764,178,70,2022-07-30 00:02:19,2022-07-30 07:18:45,72,13.7,403,436,163,91,149,33,557,86,92,72
2022-07-28 23:01:14,2022-07-30 00:02:19,UTC+02:00,70,46,76,34.10,96.74,6.1,1910,147,61,2022-07-28 23:01:14,2022-07-29 06:16:13,71,13.5,401,433,227,73,101,32,562,53,92,86
2022-07-27 21:41:53,2022-07-28 23:01:14,UTC+02:00,81,45,80,33.90,96.07,15.7,2699,174,64,2022-07-27 21:41:53,2022-07-28 06:14:44,82,13.5,472,513,211,94,167,41,572,76,91,69
2022-07-26 23:20:51,2022-07-27 21:41:53,UTC+02:00,50,48,73,34.20,97.14,13.8,2263,175,65,2022-07-26 23:20:51,2022-07-27 06:13:46,67,13.4,393,413,213,58,122,20,591,65,95,70
2022-07-25 22:24:32,2022-07-26 23:20:51,UTC+02:00,55,46,75,33.90,96.35,18.0,3177,172,67,2022-07-25 22:24:32,2022-07-26 06:16:03,78,13.4,439,470,227,82,130,31,561,86,93,56
2022-07-25 00:08:13,2022-07-25 22:24:32,UTC+02:00,52,46,76,33.97,96.56,8.5,1855,156,61,2022-07-25 00:08:13,2022-07-25 06:21:12,63,13.7,337,373,149,69,119,36,540,146,93,55
2022-07-24 03:44:26,2022-07-25 00:08:13,UTC+02:00,20,51,69,34.20,97.11,4.3,1494,116,58,2022-07-24 03:44:26,2022-07-24 07:32:16,37,13.9,206,227,124,48,34,21,565,65,93,42
2022-07-22 23:27:15,2022-07-24 03:44:26,UTC+02:00,73,49,86,34.00,96.74,14.4,2958,169,71,2022-07-22 23:27:15,2022-07-23 07:59:38,78,13.8,479,512,210,130,139,33,614,81,94,73
2022-07-21 23:08:56,2022-07-22 23:27:15,UTC+02:00,71,47,87,34.30,98.13,19.1,3208,181,71,2022-07-21 23:08:56,2022-07-22 06:02:46,65,13.5,376,414,206,75,95,38,581,63,90,92
2022-07-20 23:00:43,2022-07-21 23:08:56,UTC+02:00,71,46,84,33.86,96.94,17.1,2623,180,68,2022-07-20 23:00:43,2022-07-21 06:09:28,73,13.6,390,428,192,62,136,38,533,60,91,87
2022-07-19 22:25:40,2022-07-20 23:00:43,UTC+02:00,86,44,86,34.20,96.50,7.4,1961,134,62,2022-07-19 22:25:40,2022-07-20 05:57:00,74,13.4,406,448,257,61,88,42,551,70,90,83
2022-07-18 23:29:33,2022-07-19 22:25:40,UTC+02:00,88,46,87,33.90,97.09,10.8,2067,169,65,2022-07-18 23:29:33,2022-07-19 06:14:45,70,13.4,367,405,168,76,123,38,526,51,91,78
2022-07-17 22:46:15,2022-07-18 23:29:33,UTC+02:00,95,46,92,34.20,96.63,8.7,2050,145,63,2022-07-17 22:46:15,2022-07-18 05:55:00,83,13.9,402,429,155,79,168,27,485,15,93,89
2022-07-16 21:52:50,2022-07-17 22:46:15,UTC+02:00,85,53,92,34.60,96.54,5.2,1855,122,61,2022-07-16 21:52:50,2022-07-17 07:14:18,95,15.0,518,561,231,101,186,43,547,56,92,84
2022-07-15 23:21:14,2022-07-16 21:52:50,UTC+02:00,41,56,63,34.30,97.80,13.1,2092,189,72,2022-07-15 23:21:14,2022-07-16 07:17:33,76,13.4,430,476,136,115,179,46,569,63,90,87
2022-07-14 23:03:53,2022-07-15 23:21:14,UTC+02:00,72,47,72,33.50,98.81,15.4,2966,157,69,2022-07-14 23:03:53,2022-07-15 06:58:42,79,13.2,430,474,215,89,126,44,545,51,92,90
